Country;City;Km (section);Km (cuml.);Connection
DK;Hirtshals;135;1265; 
DK;Hjørring;18;1283; 
DK;Nørresundby;46;1329; 
DK;Ålborg;1;1330;E45
Country;City;Km (section);Km (cuml.);Connection
F;Saint-Brieuc;0;0; 
F;Caen;233;233;E46
Country;City;Km (section);Km (cuml.);Connection
F;Calais;0;0;E15, E40
F;Rouen;216;216;E46
F;Le Mans;200;416;E50, E501, E502
Country;City;Km (section);Km (cuml.);Connection
B;Zeebrugge;0;0;E34, E404
B;Brugge;16;16; 
B;Kortrijk;52;68;E17
B;Tournai;28;96;E429
Country;City;Km (section);Km (cuml.);Connection
B;Jabbeke;0;0; 
B;Zeebrugge;24;24;E34, E403
Country;City;Km (section);Km (cuml.);Connection
F;Calais;0;0;E15, E402
B;Oostende;96;96; 
B;Gent;64;160;E17
B;Bruxelles;55;214;E19, E411
B;Liège;94;308;E25, E42, E46, E313
D;Aachen;64;372;E314, E421
D;Köln;72;444;E35, E29, E31, E37
D;Olpe;73;517; 
D;Gießen;95;612;E41, E44, E451
D;Bad Hersfeld;98;710; 
D;Herleshausen;42;752; 
D;Eisenach;15;767; 
D;Erfurt;63;830; 
D;Gera;88;917;E51
D;Chemnitz;74;991;E441
D;Dresden;76;1067;E55
D;Görlitz;109;1176; 
PL;Legnica;101;1278;E36
PL;WrocÅaw;79;1356;E67, E261
PL;Opole;95;1452; 
PL;Gliwice;72;1523; 
PL;Kraków;109;1632;E77, E462
PL;PrzemyÅl;246;1878;Â 
UA;L'vov;95;1973;E372, E471
UA;Rovno;208;2181;E373
UA;Åœitomir;184;2365;Â 
UA;Kiev;146;2511;E95, E381
UA;Charkov;471;2982;E105
RUS;Rostov-na-Donu;479;3461;E115, E97
Country;City;Km (section);Km (cuml.);Connection
B;Bruxelles;0;0;E40, E19
B;Namur;65;65;E42
B;Arlon;129;194;E25
F;Longwy;24;218; 
F;Metz;62;281;E25, E50, E21, E23
Country;City;Km (section);Km (cuml.);Connection
D;Dortmund;0;0;E37, E34, E331
D;Gießen;166;166;E40, E44, E451
